TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:06:33:782450,1000,gnome-terminal-,4385,4385,15,memfd_create,"name: gdk-wayland, flags: 1",0
04:06:35:448312,1000,gnome-terminal-,4385,4385,15,memfd_create,"name: gdk-wayland, flags: 1",0
04:06:38:816253,0,lxd,2645,3648,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:06:38:816643,0,lxd,2645,2661,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:06:38:820052,0,lxd,2645,3642,0,fchown,"fd: 28, owner: 0, group: 0",0
04:06:38:820969,0,lxd,2645,3642,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2228671, dev: 8388611, ctime: 1741165598818949579",0
04:06:40:052594,1000,gnome-terminal-,4385,4385,15,memfd_create,"name: gdk-wayland, flags: 1",0
04:06:48:816724,0,lxd,2645,3641,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:06:48:816994,0,lxd,2645,3642,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:06:48:820190,0,lxd,2645,3641,0,fchown,"fd: 28, owner: 0, group: 0",0
04:06:48:821359,0,lxd,2645,3641,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2228671, dev: 8388611, ctime: 1741165608819025933",0
04:06:58:817937,0,lxd,2645,2661,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:06:58:818144,0,lxd,2645,3641,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:06:58:822452,0,lxd,2645,2661,0,fchown,"fd: 28, owner: 0, group: 0",0
04:06:58:823332,0,lxd,2645,2661,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2228671, dev: 8388611, ctime: 1741165618822102196",0
04:06:59:218895,1000,gnome-shell,2952,2952,0,fchown,"fd: 125, owner: 1000, group: 1000",0
04:06:59:218952,1000,gnome-shell,2952,2952,0,fchmod,"fd: 125, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IWGRP|S_IROTH",0
04:07:04:993948,33,sh,10199,10199,0,sched_process_exec,"cmdpath: /bin/sh, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [sh -c tar --version], interp: /bin/sh, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: apache2, env: <nil>",3
04:07:04:997860,33,tar,10200,10200,0,sched_process_exec,"cmdpath: /usr/bin/tar, pathname: /usr/bin/tar, dev: 8388611, inode: 1442983, ctime: 1721354246617999820, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [tar --version], interp: /usr/bin/tar, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: sh, env: <nil>",3
04:07:05:006540,33,sh,10201,10201,0,sched_process_exec,"cmdpath: /bin/sh, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [sh -c gzip --version], interp: /bin/sh, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: apache2, env: <nil>",3
04:07:05:007950,33,gzip,10202,10202,0,sched_process_exec,"cmdpath: /usr/bin/gzip, pathname: /usr/bin/gzip, dev: 8388611, inode: 1442305, ctime: 1721354245918120042, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [gzip --version], interp: /usr/bin/gzip, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: sh, env: <nil>",3
04:07:05:011166,33,sh,10203,10203,0,sched_process_exec,"cmdpath: /bin/sh, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [sh -c bzip2 --version], interp: /bin/sh, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: apache2, env: <nil>",3
04:07:05:012474,33,bzip2,10204,10204,0,sched_process_exec,"cmdpath: /usr/bin/bzip2, pathname: /usr/bin/bzip2, dev: 8388611, inode: 1441930, ctime: 1721354245330223025, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [bzip2 --version], interp: /usr/bin/bzip2, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: sh, env: <nil>",3
04:07:05:015300,33,sh,10205,10205,0,sched_process_exec,"cmdpath: /bin/sh, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [sh -c xz --version], interp: /bin/sh, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: apache2, env: <nil>",3
04:07:05:016996,33,xz,10206,10206,0,sched_process_exec,"cmdpath: /usr/bin/xz, pathname: /usr/bin/xz, dev: 8388611, inode: 1443190, ctime: 1721354246865957342, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [xz --version], interp: /usr/bin/xz, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: sh, env: <nil>",3
04:07:05:020428,33,sh,10207,10207,0,sched_process_exec,"cmdpath: /bin/sh, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [sh -c zip -h], interp: /bin/sh, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: apache2, env: <nil>",3
