TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:03:25:025857,0,lxd,2630,2648,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:03:25:027558,0,lxd,2630,2646,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:03:25:033466,0,lxd,2630,2648,0,fchown,"fd: 28, owner: 0, group: 0",0
04:03:25:034896,0,lxd,2630,2648,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2228693, dev: 8388611, ctime: 1741079005032914984",0
04:03:35:027096,0,lxd,2630,2646,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:03:35:028223,0,lxd,2630,2651,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:03:35:036720,0,lxd,2630,2648,0,fchown,"fd: 28, owner: 0, group: 0",0
04:03:35:038143,0,lxd,2630,2648,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2228693, dev: 8388611, ctime: 1741079015035988137",0
04:03:40:047740,101,systemd-resolve,638,638,0,security_socket_connect,"sockfd: 17, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:192.168.29.2 sin_port:53]",0
04:03:40:047862,101,systemd-resolve,638,638,0,net_packet_dns_request,"metadata: {192.168.29.168 192.168.29.2 41968 53 17 75 any}, dns_questions: [{connectivity-check.ubuntu.com A IN}]",0
04:03:42:050975,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {192.168.29.2 192.168.29.168 53 41968 17 435 any}, dns_response: [{{connectivity-check.ubuntu.com A IN} [{A 5 91.189.91.98} {A 5 185.125.190.48} {A 5 185.125.190.98} {A 5 91.189.91.96} {A 5 185.125.190.49} {A 5 91.189.91.97} {A 5 185.125.190.96} {A 5 91.189.91.49} {A 5 91.189.91.48} {A 5 185.125.190.97} {A 5 185.125.190.18} {A 5 185.125.190.17}]}]",0
04:03:42:055763,0,NetworkManager,894,894,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET sin_addr:91.189.91.98 sin_port:80]",0
04:03:42:283030,0,NetworkManager,894,894,0,net_packet_http_request,"metadata: {192.168.29.168 91.189.91.98 40780 80 6 127 any}, http_request: {GET HTTP/1.1 connectivity-check.ubuntu.com / map[Accept:[*/*] Connection:[close]] 0}",0
04:03:42:508311,0,swapper/3,0,0,0,net_packet_http_response,"metadata: {91.189.91.98 192.168.29.168 80 40780 6 225 any}, http_response: {204 No Content 204 HTTP/1.1 map[Date:[Tue, 04 Mar 2025 09:03:42 GMT] Server:[nginx/1.18.0 (Ubuntu)] X-Cache-Status:[from content-cache/2] X-Networkmanager-Status:[online]] 0}",0
04:03:45:027593,0,lxd,2630,2648,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:03:45:027924,0,lxd,2630,2651,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:03:45:031912,0,lxd,2630,2646,0,fchown,"fd: 28, owner: 0, group: 0",0
04:03:45:033097,0,lxd,2630,2646,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2228693, dev: 8388611, ctime: 1741079025031061088",0
04:03:46:266903,0,vsftpd,10166,10166,10166,setsid,,1
04:03:46:266949,0,vsftpd,10167,10167,10167,setsid,,1
04:03:46:267576,0,vsftpd,10168,10168,10168,setsid,,1
04:03:46:268440,0,vsftpd,10169,10169,10169,setsid,,1
04:03:46:270162,0,vsftpd,10170,10170,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:270232,0,vsftpd,10170,10170,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:270400,0,vsftpd,10170,10170,0,setgid,gid: 65534,1
04:03:46:270457,65534,vsftpd,10170,10170,0,setuid,uid: 65534,1
04:03:46:270534,0,vsftpd,10171,10171,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:270600,0,vsftpd,10171,10171,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:270627,0,vsftpd,10172,10172,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:270783,0,vsftpd,10172,10172,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:270907,0,vsftpd,10171,10171,0,setgid,gid: 65534,1
04:03:46:270939,65534,vsftpd,10171,10171,0,setuid,uid: 65534,1
04:03:46:270996,0,vsftpd,10172,10172,0,setgid,gid: 65534,1
04:03:46:271032,65534,vsftpd,10172,10172,0,setuid,uid: 65534,1
04:03:46:271474,0,vsftpd,10173,10173,10173,setsid,,1
04:03:46:271664,0,vsftpd,10174,10174,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:271705,0,vsftpd,10174,10174,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:271868,0,vsftpd,10174,10174,0,setgid,gid: 65534,1
04:03:46:271889,65534,vsftpd,10174,10174,0,setuid,uid: 65534,1
04:03:46:272269,0,vsftpd,10175,10175,10175,setsid,,1
04:03:46:272878,0,vsftpd,10176,10176,10176,setsid,,1
04:03:46:274236,0,vsftpd,10177,10177,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:274272,0,vsftpd,10177,10177,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:46:274407,0,vsftpd,10177,10177,0,setgid,gid: 65534,1
04:03:46:274421,65534,vsftpd,10177,10177,0,setuid,uid: 65534,1
04:03:46:275168,0,vsftpd,10178,10178,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
