TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:38:25:080445,0,lxd,2293,2656,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:25:081046,0,lxd,2293,2316,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:25:087275,0,lxd,2293,2656,0,fchown,"fd: 28, owner: 0, group: 0",0
04:38:25:088665,0,lxd,2293,2656,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2232821, dev: 8388611, ctime: 1740735505086453921",0
04:38:35:080965,0,lxd,2293,2656,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:35:081617,0,lxd,2293,2314,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:35:085998,0,lxd,2293,2314,0,fchown,"fd: 28, owner: 0, group: 0",0
04:38:35:087093,0,lxd,2293,2314,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2232821, dev: 8388611, ctime: 1740735515085547319",0
04:38:40:388857,101,systemd-resolve,755,755,0,security_socket_connect,"sockfd: 11, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:192.168.29.2 sin_port:53]",0
04:38:40:389137,101,systemd-resolve,755,755,0,net_packet_dns_request,"metadata: {192.168.29.168 192.168.29.2 60918 53 17 75 any}, dns_questions: [{connectivity-check.ubuntu.com A IN}]",0
04:38:42:394356,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {192.168.29.2 192.168.29.168 53 60918 17 435 any}, dns_response: [{{connectivity-check.ubuntu.com A IN} [{A 5 185.125.190.18} {A 5 185.125.190.96} {A 5 185.125.190.49} {A 5 185.125.190.97} {A 5 91.189.91.96} {A 5 185.125.190.98} {A 5 185.125.190.17} {A 5 91.189.91.49} {A 5 91.189.91.97} {A 5 91.189.91.98} {A 5 91.189.91.48} {A 5 185.125.190.48}]}]",0
04:38:42:395285,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.18 sin_port:80]",0
04:38:42:654375,0,NetworkManager,892,892,0,net_packet_http_request,"metadata: {192.168.29.168 185.125.190.18 46322 80 6 127 any}, http_request: {GET HTTP/1.1 connectivity-check.ubuntu.com / map[Accept:[*/*] Connection:[close]] 0}",0
04:38:42:913617,0,swapper/3,0,0,0,net_packet_http_response,"metadata: {185.125.190.18 192.168.29.168 80 46322 6 229 any}, http_response: {204 No Content 204 HTTP/1.1 map[Date:[Fri, 28 Feb 2025 09:38:42 GMT] Server:[nginx/1.14.0 (Ubuntu)] X-Cache-Status:[from content-cache-il3/1] X-Networkmanager-Status:[online]] 0}",0
04:38:45:081101,0,lxd,2293,2656,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:45:081373,0,lxd,2293,2659,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:45:084768,0,lxd,2293,2656,0,fchown,"fd: 28, owner: 0, group: 0",0
04:38:45:085717,0,lxd,2293,2656,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2232821, dev: 8388611, ctime: 1740735525084639963",0
04:38:55:081971,0,lxd,2293,2659,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:55:083019,0,lxd,2293,2659,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
04:38:55:092359,0,lxd,2293,2316,0,fchown,"fd: 28, owner: 0, group: 0",0
04:38:55:094102,0,lxd,2293,2316,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2232821, dev: 8388611, ctime: 1740735535091731944",0
04:39:01:068418,0,cron,18081,18081,0,security_socket_connect,"sockfd: 7, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",0
04:39:01:068492,0,cron,18081,18081,0,security_socket_connect,"sockfd: 7, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",0
04:39:01:070791,0,cron,18082,18082,18082,setsid,,0
