TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
05:06:29:802343,0,lxd,1841,2447,0,security_socket_connect,"sockfd: 27, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
05:06:29:803386,0,lxd,1841,2446,0,security_socket_connect,"sockfd: 27, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:]",0
05:06:29:809022,0,lxd,1841,2450,0,fchown,"fd: 27, owner: 0, group: 0",0
05:06:29:809968,0,lxd,1841,2450,0,security_inode_unlink,"pathname: /var/snap/lxd/common/lxd/database/local.db-journal, inode: 2233210, dev: 8388611, ctime: 1734516389808624733",0
05:06:33:821241,0,sshd,154564,154564,154564,setsid,,4
05:06:33:821842,0,sshd,154564,154564,0,sched_process_exec,"cmdpath: /usr/sbin/sshd, pathname: /usr/sbin/sshd, dev: 8388611, inode: 1444728, ctime: 1732440000808461670, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/usr/sbin/sshd -D -R], interp: /usr/sbin/sshd, stdin_type: S_IFSOCK, stdin_path: TCP, invoked_from_kernel: 0, prev_comm: sshd, env: <nil>",4
05:06:33:827041,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 6, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:33:827112,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 4, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr::: sin6_flowinfo:0 sin6_port:22 sin6_scopeid:0]",4
05:06:33:827138,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 4, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:0.0.0.0 sin_port:22]",4
05:06:33:827228,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:33:827269,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:33:832400,0,sshd,154565,154565,0,setresgid,"rgid: 65534, egid: 65534, sgid: 65534",4
05:06:33:832459,130,sshd,154565,154565,0,setresuid,"ruid: 130, euid: 130, suid: 130",4
05:06:33:832507,130,sshd,154565,154565,-1,setgid,gid: 0,4
05:06:33:832518,130,sshd,154565,154565,-1,setresgid,"rgid: -1, egid: 0, sgid: -1",4
05:06:33:832532,130,sshd,154565,154565,-1,setuid,uid: 0,4
05:06:33:832554,130,sshd,154565,154565,-1,setresuid,"ruid: -1, euid: 0, suid: -1",4
05:06:33:934650,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 5, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_UNIX sun_path:/dev/log]",4
05:06:33:934849,0,sshd,154564,154564,0,security_socket_connect,"sockfd: 5, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_UNIX sun_path:/dev/log]",4
05:06:34:159129,0,sshd,154566,154566,154566,setsid,,4
05:06:34:161052,0,sshd,154566,154566,0,sched_process_exec,"cmdpath: /usr/sbin/sshd, pathname: /usr/sbin/sshd, dev: 8388611, inode: 1444728, ctime: 1732440000808461670, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/usr/sbin/sshd -D -R], interp: /usr/sbin/sshd, stdin_type: S_IFSOCK, stdin_path: TCP, invoked_from_kernel: 0, prev_comm: sshd, env: <nil>",4
05:06:34:160632,0,sshd,154567,154567,154567,setsid,,4
05:06:34:162558,0,sshd,154567,154567,0,sched_process_exec,"cmdpath: /usr/sbin/sshd, pathname: /usr/sbin/sshd, dev: 8388611, inode: 1444728, ctime: 1732440000808461670, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/usr/sbin/sshd -D -R], interp: /usr/sbin/sshd, stdin_type: S_IFSOCK, stdin_path: TCP, invoked_from_kernel: 0, prev_comm: sshd, env: <nil>",4
05:06:34:173091,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 6, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:173090,0,sshd,154567,154567,0,security_socket_connect,"sockfd: 6, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:173206,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 4, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr::: sin6_flowinfo:0 sin6_port:22 sin6_scopeid:0]",4
05:06:34:173236,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 4, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:0.0.0.0 sin_port:22]",4
05:06:34:173356,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:173381,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:173206,0,sshd,154567,154567,0,security_socket_connect,"sockfd: 4, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr::: sin6_flowinfo:0 sin6_port:22 sin6_scopeid:0]",4
05:06:34:173236,0,sshd,154567,154567,0,security_socket_connect,"sockfd: 4, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:0.0.0.0 sin_port:22]",4
05:06:34:173354,0,sshd,154567,154567,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:173376,0,sshd,154567,154567,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:178055,0,sshd,154568,154568,0,setresgid,"rgid: 65534, egid: 65534, sgid: 65534",4
05:06:34:178241,130,sshd,154568,154568,0,setresuid,"ruid: 130, euid: 130, suid: 130",4
05:06:34:178304,130,sshd,154568,154568,-1,setgid,gid: 0,4
05:06:34:178326,130,sshd,154568,154568,-1,setresgid,"rgid: -1, egid: 0, sgid: -1",4
05:06:34:178341,130,sshd,154568,154568,-1,setuid,uid: 0,4
05:06:34:178354,130,sshd,154568,154568,-1,setresuid,"ruid: -1, euid: 0, suid: -1",4
05:06:34:183068,0,sshd,154569,154569,0,setresgid,"rgid: 65534, egid: 65534, sgid: 65534",4
05:06:34:183130,130,sshd,154569,154569,0,setresuid,"ruid: 130, euid: 130, suid: 130",4
05:06:34:183145,130,sshd,154569,154569,-1,setgid,gid: 0,4
05:06:34:183158,130,sshd,154569,154569,-1,setresgid,"rgid: -1, egid: 0, sgid: -1",4
05:06:34:183168,130,sshd,154569,154569,-1,setuid,uid: 0,4
05:06:34:183176,130,sshd,154569,154569,-1,setresuid,"ruid: -1, euid: 0, suid: -1",4
05:06:34:360789,0,sshd,154567,154567,0,security_socket_connect,"sockfd: 5, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_UNIX sun_path:/dev/log]",4
05:06:34:377099,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 5, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:377170,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 5, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",4
05:06:34:377524,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 8, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",4
05:06:34:472466,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 5, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_UNIX sun_path:/dev/log]",4
05:06:34:478410,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 5, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",4
05:06:34:479321,0,sshd,154566,154566,0,setregid,"rgid: 1000, egid: -1",4
05:06:34:479357,1000,sshd,154566,154566,0,setreuid,"ruid: 1000, euid: -1",4
05:06:34:479384,0,sshd,154566,154566,0,setreuid,"ruid: 0, euid: -1",4
05:06:34:479426,0,sshd,154566,154566,0,setregid,"rgid: 0, egid: -1",4
05:06:34:479594,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 3, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_UNIX sun_path:/dev/log]",0
05:06:34:479717,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 5, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.Multiplexer]",0
05:06:34:479787,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 7, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:480265,0,sshd,154566,154566,0,security_socket_connect,"sockfd: 5, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/dbus/system_bus_socket]",0
05:06:34:482170,0,systemd-logind,912,912,0,security_socket_connect,"sockfd: 21, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.Multiplexer]",0
05:06:34:482242,0,systemd-logind,912,912,0,security_socket_connect,"sockfd: 23, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:484037,0,systemd-logind,912,912,0,fchmod,"fd: 21, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
05:06:34:484191,0,systemd-logind,912,912,0,fchmod,"fd: 21, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
05:06:34:491110,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:493247,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:496252,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:499512,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:500125,0,systemd-logind,912,912,0,fchmod,"fd: 24, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
05:06:34:500349,0,systemd-logind,912,912,0,fchmod,"fd: 23, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
05:06:34:500491,0,systemd-logind,912,912,0,fchmod,"fd: 23, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
05:06:34:501295,0,sh,154570,154570,0,sched_process_exec,"cmdpath: /bin/sh, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [sh -c /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d > /run/motd.dynamic.new], interp: /bin/sh, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: sshd, env: <nil>",0
05:06:34:502515,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:504033,0,env,154571,154571,0,sched_process_exec,"cmdpath: /usr/bin/env, pathname: /usr/bin/env, dev: 8388611, inode: 1442077, ctime: 1721354245418207613, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d], interp: /usr/bin/env, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: sh, env: <nil>",0
05:06:34:504531,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:505966,0,run-parts,154571,154571,0,sched_process_exec,"cmdpath: /usr/bin/run-parts, pathname: /usr/bin/run-parts, dev: 8388611, inode: 1442826, ctime: 1721354246330049149, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [run-parts --lsbsysinit /etc/update-motd.d], interp: /usr/bin/run-parts, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: env, env: <nil>",0
05:06:34:506778,0,polkitd,901,901,0,security_socket_connect,"sockfd: 11, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",0
05:06:34:506868,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:507401,0,00-header,154572,154572,0,sched_process_exec,"cmdpath: /etc/update-motd.d/00-header, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/bin/sh /etc/update-motd.d/00-header], interp: /bin/sh, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: run-parts, env: <nil>",0
05:06:34:508918,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:508933,0,uname,154573,154573,0,sched_process_exec,"cmdpath: /usr/bin/uname, pathname: /usr/bin/uname, dev: 8388611, inode: 1443044, ctime: 1721354246753976525, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [uname -o], interp: /usr/bin/uname, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: 00-header, env: <nil>",0
05:06:34:510216,0,uname,154574,154574,0,sched_process_exec,"cmdpath: /usr/bin/uname, pathname: /usr/bin/uname, dev: 8388611, inode: 1443044, ctime: 1721354246753976525, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [uname -r], interp: /usr/bin/uname, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: 00-header, env: <nil>",0
05:06:34:510235,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
